,id,host_id,district,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
116,457588,1805882,Downtown Core,Church-Yonge Corridor,43.65475,-79.37934,Hotel room,274,5,7,2018-06-29,0.09,4,365,2018,6,29
118,462366,2297131,North York,Brookhaven-Amesbury,43.7063,-79.48768,Private room,54,1,33,2019-10-14,0.37,1,365,2019,10,14
119,464313,2307239,Downtown Core,Waterfront Communities-The Island,43.64428,-79.40268,Entire home/apt,190,3,62,2019-10-16,0.8,1,200,2019,10,16
120,466650,1039434,Downtown Core,Waterfront Communities-The Island,43.64353,-79.40154,Entire home/apt,164,30,55,2019-11-15,0.62,4,58,2019,11,15
121,473827,2349264,York,Oakwood Village,43.68767,-79.44004,Entire home/apt,107,150,98,2019-09-15,1.09,1,0,2019,9,15
123,495303,1241161,West End,Dovercourt-Wallace Emerson-Junction,43.66444,-79.42534,Entire home/apt,115,29,115,2019-11-11,1.31,2,41,2019,11,11
125,509575,2511000,Downtown Core,Moss Park,43.65751,-79.37178,Private room,80,3,12,2019-07-21,0.14,24,201,2019,7,21
126,511141,2518222,West End,Little Portugal,43.64887,-79.43202,Entire home/apt,138,3,117,2019-10-01,1.3,3,0,2019,10,1
127,511463,211533,West End,Dovercourt-Wallace Emerson-Junction,43.66021,-79.43757,Entire home/apt,150,2,6,2016-08-28,0.08,1,0,2016,8,28
128,516823,533496,West End,Junction Area,43.66585,-79.47556,Entire home/apt,87,3,167,2019-12-02,1.84,2,338,2019,12,2
129,517709,2549053,West End,Trinity-Bellwoods,43.65264,-79.411,Entire home/apt,225,2,76,2018-08-16,0.87,1,0,2018,8,16
130,519845,1615266,North York,Parkwoods-Donalda,43.75864,-79.31797,Entire home/apt,52,4,43,2019-11-05,0.49,2,341,2019,11,5
131,525387,1559845,West End,Dovercourt-Wallace Emerson-Junction,43.65875,-79.44551,Entire home/apt,143,7,60,2019-08-11,0.66,1,310,2019,8,11
133,526705,1698603,West End,Roncesvalles,43.64279,-79.43347,Entire home/apt,139,7,50,2019-09-23,0.56,2,0,2019,9,23
135,529189,2597290,West End,Trinity-Bellwoods,43.65248,-79.40885,Private room,54,3,150,2019-11-10,1.66,4,0,2019,11,10
136,529256,2597290,West End,Trinity-Bellwoods,43.65038,-79.41019,Private room,54,3,110,2019-10-28,1.21,4,365,2019,10,28
137,533659,1019968,Downtown Core,Waterfront Communities-The Island,43.63931,-79.38174,Entire home/apt,220,9,142,2019-11-11,1.57,3,117,2019,11,11
138,534962,2511000,Downtown Core,Moss Park,43.66002,-79.37217,Private room,80,3,8,2019-05-12,0.1,24,239,2019,5,12
139,535006,2511000,Downtown Core,Moss Park,43.65931,-79.37258,Private room,76,3,12,2019-07-27,0.14,24,234,2019,7,27
140,535025,2511000,Downtown Core,Moss Park,43.66015,-79.37206,Hotel room,54,3,24,2019-09-22,0.29,24,202,2019,9,22
141,535079,2511000,Downtown Core,Moss Park,43.65852,-79.37165,Private room,65,3,4,2019-05-01,0.05,24,208,2019,5,1
142,535086,2511000,Downtown Core,Moss Park,43.65796,-79.37146,Private room,65,3,12,2018-10-22,0.15,24,210,2018,10,22
143,535110,2511000,Downtown Core,Moss Park,43.65823,-79.37213,Private room,60,3,13,2017-02-25,0.15,24,222,2017,2,25
144,535124,2511000,Downtown Core,Moss Park,43.66004,-79.37175,Private room,60,3,5,2018-11-21,0.06,24,235,2018,11,21
146,543242,436011,West End,Little Portugal,43.65007,-79.42561,Private room,69,2,208,2019-11-21,2.38,1,350,2019,11,21
148,547777,2692759,West End,Palmerston-Little Italy,43.66101,-79.42695,Entire home/apt,90,2,3,2017-10-17,0.03,1,0,2017,10,17
149,553972,2597290,West End,Trinity-Bellwoods,43.65159,-79.40827,Private room,54,3,101,2019-11-15,1.14,4,0,2019,11,15
152,571239,2811178,East York,Greenwood-Coxwell,43.68181,-79.32462,Entire home/apt,251,3,35,2019-12-01,0.4,2,365,2019,12,1
153,571429,377846,East End,East End-Danforth,43.68617,-79.29311,Entire home/apt,119,3,28,2019-06-18,0.32,10,93,2019,6,18
155,573892,2175675,Downtown Core,Waterfront Communities-The Island,43.64317,-79.38044,Entire home/apt,170,1,75,2019-11-24,0.85,4,356,2019,11,24
156,578292,2808386,East End,Bay Street Corridor,43.65409,-79.38456,Entire home/apt,121,20,9,2019-10-09,0.1,1,18,2019,10,9
157,579918,1160065,West End,Niagara,43.63803,-79.41904,Entire home/apt,130,3,13,2019-08-28,0.15,1,0,2019,8,28
159,599591,2771272,West End,Dufferin Grove,43.65354,-79.43508,Entire home/apt,90,2,196,2019-11-06,2.21,3,332,2019,11,6
160,602407,2980659,East End,Woodbine Corridor,43.67666,-79.31322,Private room,69,4,40,2019-08-10,0.45,1,97,2019,8,10
161,602943,2511000,Downtown Core,Moss Park,43.65759,-79.37072,Private room,65,3,10,2017-03-15,0.13,24,232,2017,3,15
