id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12232774,"Close to Union Station, Great View!",65823061,Kwangil,,Waterfront Communities-The Island,43.64194,-79.37668,Private room,85,1,0,,,1,0
12232822,"3 floor house, modernly renovated A++ Location!",26764271,Noosh,,Willowdale West,43.77238,-79.42858,Entire home/apt,140,3,16,2019-06-30,0.38,6,0
12233086,Central Danforth Apartment secs. from Subway,8903918,Alex & Sara,,Danforth,43.68323,-79.33036,Entire home/apt,87,14,37,2019-08-31,0.86,1,254
12243222,Apartment in High Park area of T.O.,47582177,Kirsten And Geoff,,High Park-Swansea,43.64889,-79.45389,Entire home/apt,76,3,87,2019-11-23,1.97,1,175
12246555,Luxurious Downtown Condo,65918400,Tyler,,Waterfront Communities-The Island,43.64763,-79.388,Entire home/apt,114,180,12,2017-01-10,0.28,1,173
12249182,"Great Location, Executive Townhome, King St. West",65938554,Christopher,,Niagara,43.64335,-79.41259,Private room,76,2,12,2019-08-16,0.27,1,363
12249804,Large Bedroom in Heart of Downtown,65943721,Jessica,,Church-Yonge Corridor,43.66485,-79.38306,Private room,60,1,0,,,1,0
12255652,"近Kennedy地铁站,$365/月,女生楼上单人房出租厨厕合用,即住",3999603,Colin,,Kennedy Park,43.72649,-79.25956,Shared room,364,1,0,,,1,365
12265271,XXXSelf-contained.Bsmnt Private- Annex,66057765,Ariel And Chana,,Annex,43.66546,-79.41128,Entire home/apt,80,5,9,2017-03-17,0.22,1,180
12269390,Stunning 2BR Perfect Location,14192890,Michelle,,Waterfront Communities-The Island,43.63922,-79.39667,Entire home/apt,249,1,2,2019-08-25,0.12,14,364
12273993,2-story Penthouse Loft Downtown Lake/City Views,15912223,Sam,,Waterfront Communities-The Island,43.64149,-79.39571,Entire home/apt,938,1,109,2019-11-20,3.13,14,88
12283185,Elegant 1 br suite in Corso Italia,66185734,Jeff,,Corso Italia-Davenport,43.68236,-79.4563,Entire home/apt,49,1,3,2017-09-20,0.08,1,0
12285791,"""Best Room in the Annex"" - Room & Garden Magazine",1476027,Dmitry,,Annex,43.67451,-79.40851,Private room,65,2,41,2018-11-17,1.02,1,341
12289410,Private Modern Suite in Leslieville,21729670,Sara,,Greenwood-Coxwell,43.66686,-79.32249,Entire home/apt,72,2,158,2019-11-19,3.62,1,295
12290314,Take in Panoramic City Views from a Sophisticated Condominium,66236699,Jeffery,,Bay Street Corridor,43.65391,-79.38273,Entire home/apt,155,2,329,2019-12-06,7.42,1,0
12291533,Ultimate location - Cosy 1 BDR,6960460,Axelle,,Waterfront Communities-The Island,43.64655,-79.39114,Entire home/apt,180,5,1,2016-05-14,0.02,1,0
12293164,Stylish modern condo Sheppard Yonge,17383310,Cathy,,Willowdale East,43.7606,-79.40953,Entire home/apt,129,5,27,2019-10-14,0.65,1,349
12298825,1 BR Basement Apt downtown east,66303736,Sarah,,South Riverdale,43.66472,-79.33773,Entire home/apt,42,5,2,2016-05-02,0.05,1,0
